Date,Product,Region,Sales,Revenue
2025-07-17,Smartwatch,East,27,608310
2025-10-11,Smartwatch,East,17,227001
2025-05-26,Laptop,South,33,4124175
2025-10-04,Tablet,West,8,234128
2025-07-10,Laptop,South,48,1699488
2025-09-26,Tablet,North,32,998496
2025-09-30,Smartwatch,South,5,54245
2025-10-11,Tablet,East,20,644000
2025-09-16,Laptop,North,9,1135188
2025-06-17,Smartwatch,South,48,733152
2025-02-22,Laptop,North,40,3036240
2025-05-07,Smartwatch,West,42,226338
2025-03-26,Laptop,North,23,2057833
2025-03-18,Laptop,West,49,1649977
2025-09-12,Headphones,East,44,195360
2025-02-22,Headphones,East,40,170120
2025-05-03,Smartwatch,North,27,468126
2025-01-24,Mobile Phone,South,3,87606
2025-01-12,Headphones,East,18,63792
2025-09-28,Smartwatch,North,37,643319
2025-10-08,Headphones,West,9,46359
2025-04-14,Laptop,North,37,2892919
2025-05-26,Mobile Phone,North,25,347025
2025-05-04,Headphones,North,30,62520
2025-03-02,Headphones,South,19,106837
2025-10-16,Smartwatch,West,4,56980
2025-09-15,Headphones,East,32,126112
2025-04-30,Mobile Phone,South,30,380370
2025-05-13,Smartwatch,North,5,61595
2025-10-10,Tablet,West,11,354992
2025-06-04,Headphones,South,14,90020
2025-03-09,Mobile Phone,North,38,323950
2025-08-13,Smartwatch,North,48,711984
2025-02-05,Headphones,South,15,99960
2025-02-11,Laptop,West,19,1967184
2025-04-01,Smartwatch,North,35,284130
2025-09-10,Mobile Phone,East,12,269832
2025-07-19,Laptop,South,4,527856
2025-05-31,Tablet,North,20,908640
2025-09-06,Smartwatch,East,44,1014728
2025-05-18,Mobile Phone,North,19,178638
2025-08-12,Laptop,West,30,3072000
2025-01-31,Smartwatch,East,38,650370
2025-08-11,Headphones,East,19,54720
2025-02-10,Headphones,North,35,119140
2025-06-24,Laptop,West,33,2296470
2025-05-24,Headphones,East,46,99544
2025-04-05,Laptop,North,50,5773650
2025-05-10,Tablet,North,45,1936215
2025-02-25,Smartwatch,West,42,890274
2025-08-25,Mobile Phone,North,16,171248
2025-07-14,Laptop,West,32,2105344
2025-09-20,Headphones,North,17,28322
2025-03-23,Laptop,South,40,3604200
2025-04-25,Tablet,East,3,109575
2025-01-02,Tablet,West,45,506475
2025-06-18,Headphones,West,15,29130
2025-10-01,Smartwatch,South,42,1036182
2025-04-18,Smartwatch,North,41,208567
2025-02-04,Laptop,North,40,4980480
2025-02-02,Smartwatch,West,20,138580
2025-01-20,Laptop,North,24,2900784
2025-07-03,Mobile Phone,South,5,131375
2025-10-12,Mobile Phone,North,14,212198
2025-01-03,Laptop,South,29,1148690
2025-02-02,Mobile Phone,West,33,591624
2025-02-16,Mobile Phone,North,47,828563
2025-04-09,Laptop,North,16,1418928
2025-01-16,Headphones,West,11,69102
2025-04-23,Mobile Phone,South,13,291811
2025-02-15,Tablet,West,30,463410
2025-01-05,Laptop,North,35,2554475
2025-07-14,Tablet,South,5,128620
2025-04-26,Laptop,North,12,887928
2025-04-12,Smartwatch,East,17,412369
2025-05-07,Tablet,West,7,136801
2025-10-02,Mobile Phone,South,35,321160
2025-09-29,Laptop,North,7,329658
2025-02-14,Tablet,West,15,436185
2025-03-09,Tablet,North,15,276570
2025-07-25,Mobile Phone,West,36,874368
2025-10-02,Tablet,East,12,143712
2025-09-16,Headphones,South,37,73778
2025-10-27,Mobile Phone,South,9,157752
2025-05-14,Smartwatch,North,32,607712
2025-03-31,Laptop,West,39,2478333
2025-04-14,Smartwatch,East,42,937608
2025-04-30,Tablet,East,49,1425753
2025-04-22,Tablet,North,1,40265
2025-02-06,Mobile Phone,West,10,187640
2025-05-07,Smartwatch,West,24,225024
2025-07-06,Mobile Phone,East,45,377460
2025-08-18,Tablet,South,27,523665
2025-02-09,Smartwatch,South,43,417444
2025-07-19,Tablet,South,8,158304
2025-07-30,Mobile Phone,East,7,94521
2025-03-21,Laptop,East,38,2664940
2025-10-25,Smartwatch,West,50,1100350
2025-01-08,Tablet,East,44,1881880
2025-05-02,Headphones,North,22,64636
2025-07-05,Tablet,North,1,17784
2025-09-17,Laptop,North,6,346944
2025-08-04,Mobile Phone,South,29,293074
2025-05-15,Laptop,North,39,3954171
2025-04-11,Smartwatch,West,13,272051
2025-01-29,Laptop,East,48,5058912
2025-02-21,Headphones,West,34,194106
2025-05-10,Tablet,East,9,374256
2025-05-19,Headphones,East,15,100965
2025-02-28,Smartwatch,East,37,276797
2025-04-15,Mobile Phone,South,7,179004
2025-01-06,Headphones,North,46,310546
2025-09-07,Tablet,East,44,822316
2025-08-28,Laptop,North,40,2171880
2025-10-24,Smartwatch,West,19,450243
2025-07-29,Laptop,North,8,423728
2025-08-07,Headphones,West,40,203360
2025-09-12,Tablet,West,30,310200
2025-03-28,Laptop,South,2,289836
2025-02-04,Laptop,West,45,5484060
2025-06-17,Tablet,East,35,1712060
2025-10-30,Headphones,East,10,69130
2025-05-04,Headphones,West,31,181257
2025-06-18,Headphones,North,22,126984
2025-10-19,Laptop,East,35,4500860
2025-01-25,Tablet,East,28,705040
2025-03-24,Headphones,South,44,224752
2025-07-15,Mobile Phone,East,24,358728
2025-08-20,Tablet,South,45,1659915
2025-09-30,Laptop,East,45,3131550
2025-09-29,Headphones,South,41,147641
2025-08-13,Mobile Phone,South,37,599733
2025-08-23,Mobile Phone,West,19,453663
2025-06-15,Mobile Phone,South,42,855582
2025-02-28,Laptop,West,30,2422350
2025-05-31,Headphones,East,7,18942
2025-09-26,Headphones,East,37,62493
2025-04-02,Tablet,East,9,400122
2025-07-08,Mobile Phone,East,36,618336
2025-06-25,Headphones,South,41,131405
2025-01-21,Tablet,West,39,603369
2025-10-21,Smartwatch,East,40,518760
2025-07-09,Laptop,South,35,2337475
2025-07-20,Smartwatch,North,8,72752
2025-08-31,Smartwatch,West,36,223776
2025-07-26,Smartwatch,West,36,347868
2025-03-04,Headphones,North,5,31560
2025-06-22,Headphones,East,14,32480
2025-08-03,Mobile Phone,North,30,659580
2025-06-25,Laptop,West,9,673758
2025-10-22,Headphones,North,35,163170
2025-05-09,Headphones,East,19,81890
2025-04-05,Tablet,North,12,545544
2025-05-11,Laptop,West,29,2814537
2025-02-09,Tablet,West,34,1179868
2025-02-09,Laptop,West,29,3425219
2025-03-28,Laptop,East,23,2735298
2025-02-28,Tablet,West,27,271512
2025-05-10,Headphones,North,9,18900
2025-04-21,Laptop,South,40,5899600
2025-05-16,Smartwatch,East,27,148770
2025-02-13,Headphones,East,47,215542
2025-08-15,Tablet,East,24,815112
2025-02-21,Laptop,North,5,268680
2025-03-05,Mobile Phone,West,27,329697
2025-07-12,Tablet,South,22,795982
2025-06-08,Mobile Phone,South,5,63100
2025-01-04,Tablet,East,33,596970
2025-01-08,Mobile Phone,South,25,488125
2025-02-28,Headphones,West,5,20090
2025-01-29,Tablet,North,46,1032838
2025-07-16,Headphones,North,2,6520
2025-06-01,Laptop,North,17,1045585
2025-08-27,Smartwatch,North,17,402934
2025-01-07,Tablet,West,23,1029687
2025-10-24,Laptop,North,16,1640192
2025-06-17,Mobile Phone,South,11,170500
2025-07-19,Laptop,South,36,4775328
2025-08-11,Tablet,South,11,171149
2025-09-03,Smartwatch,South,22,393602
2025-09-12,Headphones,East,27,79245
2025-07-28,Tablet,West,21,889581
2025-08-19,Mobile Phone,East,46,1062922
2025-05-08,Smartwatch,North,16,206912
2025-10-22,Smartwatch,North,25,195350
2025-10-18,Tablet,West,26,655928
2025-07-31,Laptop,East,25,3575350
2025-10-10,Mobile Phone,North,29,342809
2025-05-16,Smartwatch,East,38,522842
2025-03-11,Mobile Phone,South,36,624672
2025-10-13,Headphones,West,9,25983
2025-10-31,Mobile Phone,South,15,225045
2025-02-23,Laptop,East,46,5483154
2025-05-23,Laptop,West,7,745458
2025-10-22,Mobile Phone,East,46,1337220
2025-07-14,Headphones,West,28,48076
2025-03-07,Tablet,North,32,939104
2025-09-03,Headphones,West,20,67500
2025-09-09,Laptop,West,19,2613792
2025-03-24,Laptop,East,45,6301710
2025-05-04,Laptop,North,37,3831017
2025-10-24,Mobile Phone,West,3,43827
2025-01-26,Laptop,East,2,295300
2025-08-17,Tablet,East,28,570500
2025-09-17,Smartwatch,East,41,646365
2025-05-22,Tablet,West,8,379792
2025-10-13,Tablet,East,12,151428
2025-04-13,Smartwatch,West,10,150220
2025-08-21,Mobile Phone,South,33,391413
2025-01-13,Tablet,North,12,265716
2025-04-05,Mobile Phone,West,5,112380
2025-04-28,Smartwatch,West,38,447906
2025-09-27,Smartwatch,East,19,392350
2025-08-14,Headphones,East,42,114492
2025-01-18,Headphones,West,28,118664
2025-09-23,Tablet,South,22,1078726
2025-09-29,Smartwatch,South,10,156060
2025-08-24,Mobile Phone,East,14,204288
2025-04-29,Mobile Phone,South,6,131346
2025-04-12,Smartwatch,North,8,191376
2025-09-03,Tablet,West,42,1582476
2025-08-14,Headphones,South,50,123650
2025-01-13,Tablet,West,47,1277507
2025-04-16,Tablet,West,10,283670
2025-01-07,Laptop,South,18,568656
2025-05-29,Smartwatch,East,42,376404
2025-08-30,Headphones,East,5,26570
2025-04-21,Smartwatch,West,37,275724
2025-02-07,Laptop,East,45,6132465
2025-08-15,Smartwatch,West,8,161400
2025-09-13,Mobile Phone,East,46,929062
2025-08-22,Tablet,South,32,805664
2025-09-13,Laptop,North,34,2672366
2025-02-21,Tablet,North,39,854139
2025-07-06,Mobile Phone,West,47,1197513
2025-01-21,Laptop,South,8,908568
2025-09-10,Headphones,North,31,66619
2025-04-15,Smartwatch,South,45,316395
2025-07-30,Mobile Phone,East,6,59106
2025-01-31,Tablet,North,44,689920
2025-07-01,Smartwatch,West,47,427183
2025-03-29,Headphones,North,48,248064
2025-07-21,Smartwatch,South,22,388696
2025-03-14,Headphones,East,48,296064
2025-09-16,Laptop,North,30,2009400
2025-07-02,Smartwatch,North,46,756976
2025-10-26,Laptop,North,49,3215429
2025-09-16,Headphones,West,6,11760
2025-09-08,Tablet,North,26,667758
2025-07-06,Headphones,North,41,79253
2025-10-09,Laptop,West,39,2888301
2025-08-31,Smartwatch,South,39,735501
2025-01-16,Smartwatch,North,41,951159
2025-05-21,Smartwatch,West,43,823020
2025-01-31,Smartwatch,West,6,76998
2025-06-10,Headphones,West,37,171162
2025-07-28,Headphones,East,27,171018
2025-01-14,Headphones,North,30,183330
2025-01-12,Laptop,South,45,3629700
2025-01-24,Mobile Phone,East,44,506132
2025-02-14,Tablet,North,41,1785386
2025-10-24,Laptop,North,39,2953704
2025-05-04,Laptop,West,45,3172230
2025-05-23,Smartwatch,South,6,136998
2025-05-05,Mobile Phone,North,48,1370448
2025-07-22,Laptop,West,9,553770
2025-01-10,Tablet,South,3,81801
2025-03-12,Tablet,North,22,419034
2025-02-28,Smartwatch,East,5,83280
2025-06-04,Smartwatch,South,41,924878
2025-01-01,Headphones,West,7,42770
2025-09-01,Headphones,North,39,239811
2025-10-19,Laptop,East,14,1307488
2025-10-09,Mobile Phone,West,33,982872
2025-04-14,Laptop,West,16,1441200
2025-02-12,Mobile Phone,South,38,960868
2025-04-23,Mobile Phone,East,16,266512
2025-10-17,Laptop,South,47,2849516
2025-10-12,Mobile Phone,East,48,1399680
2025-08-04,Laptop,East,7,732627
2025-10-29,Mobile Phone,North,10,220640
2025-03-19,Mobile Phone,South,42,542472
2025-02-08,Mobile Phone,South,50,1174050
2025-07-05,Mobile Phone,West,33,952347
2025-03-10,Laptop,South,21,1104558
2025-03-22,Tablet,East,26,556972
2025-06-24,Tablet,North,27,289710
2025-04-02,Smartwatch,South,28,670124
2025-07-14,Smartwatch,South,10,82180
2025-07-26,Laptop,West,25,1986550
2025-05-02,Laptop,South,35,3774855
2025-07-09,Headphones,South,16,107872
2025-05-28,Laptop,North,17,1711509
2025-07-30,Headphones,North,39,106470
2025-06-04,Tablet,East,24,884520
2025-03-11,Smartwatch,East,23,403535
2025-10-12,Laptop,West,19,1761148
2025-03-03,Headphones,East,1,3318
2025-04-25,Mobile Phone,South,23,376579
2025-02-05,Mobile Phone,West,49,1386308
2025-08-17,Tablet,South,5,104925
2025-06-02,Mobile Phone,North,16,392528
2025-09-18,Mobile Phone,East,50,437450
2025-01-28,Laptop,West,22,1469028
2025-05-19,Smartwatch,South,6,74274
2025-07-25,Smartwatch,North,6,121782
2025-04-16,Headphones,South,21,48909
2025-08-02,Headphones,East,20,42200
2025-02-25,Tablet,North,42,1220016
2025-06-27,Laptop,East,48,2232000
2025-05-16,Mobile Phone,West,27,631206
2025-06-14,Headphones,West,34,235858
2025-01-10,Tablet,North,2,38274
2025-04-18,Laptop,West,7,584843
2025-01-18,Headphones,North,11,37389
2025-01-04,Laptop,South,6,787806
2025-04-21,Mobile Phone,East,36,379908
2025-07-26,Laptop,East,35,2343075
2025-04-05,Headphones,South,33,229020
2025-04-12,Mobile Phone,South,4,79584
2025-05-04,Headphones,West,3,9627
2025-04-21,Tablet,North,40,1379040
